Date,Revenue,Quantity,Orders,Customers
2010-12-01 08:26:00,139.12,40,1,1
2010-12-01 08:28:00,22.200000000000003,12,1,1
2010-12-01 08:34:00,348.78000000000003,98,2,1
2010-12-01 08:35:00,17.85,3,1,1
2010-12-01 08:45:00,855.86,449,1,1
2010-12-01 09:00:00,204.0,80,1,1
2010-12-01 09:01:00,22.200000000000003,12,1,1
2010-12-01 09:02:00,259.86,88,1,1
2010-12-01 09:09:00,350.4,32,1,1
2010-12-01 09:32:00,588.6600000000001,200,2,2
2010-12-01 09:34:00,22.200000000000003,12,1,1
2010-12-01 09:37:00,444.98,454,1,1
2010-12-01 09:41:00,484.78,222,2,2
2010-12-01 09:45:00,430.6,134,1,1
2010-12-01 09:53:00,489.6,190,1,1
2010-12-01 09:56:00,130.85,53,1,1
2010-12-01 09:57:00,508.20000000000005,236,1,1
2010-12-01 09:58:00,3193.92,1440,1,1
2010-12-01 09:59:00,226.14,108,1,1
2010-12-01 10:03:00,358.25,107,1,1
2010-12-01 10:19:00,1825.74,1568,1,1
2010-12-01 10:29:00,318.14,103,1,1
2010-12-01 10:37:00,79.6,8,1,1
2010-12-01 10:39:00,1024.68,544,1,1
2010-12-01 10:47:00,507.88,260,1,1
2010-12-01 10:51:00,655.36,162,2,2
2010-12-01 10:52:00,448.76,162,2,2
2010-12-01 10:53:00,17.4,12,1,1
2010-12-01 11:21:00,354.23,124,1,1
2010-12-01 11:22:00,357.0,116,1,1
2010-12-01 11:27:00,192.60000000000002,97,1,1
2010-12-01 11:29:00,471.3,438,1,1
2010-12-01 11:32:00,326.4,128,1,1
2010-12-01 11:33:00,353.14,96,1,1
2010-12-01 11:34:00,22.200000000000003,12,1,1
2010-12-01 11:41:00,783.11,558,1,1
2010-12-01 11:45:00,232.03,169,1,1
2010-12-01 11:49:00,453.46,197,1,1
2010-12-01 11:57:00,390.79,228,1,1
2010-12-01 11:58:00,225.7,110,1,1
2010-12-01 12:03:00,233.45,111,1,1
2010-12-01 12:08:00,666.35,215,2,2
2010-12-01 12:12:00,842.12,1004,1,1
2010-12-01 12:15:00,430.99,323,1,1
2010-12-01 12:22:00,312.94,170,2,1
2010-12-01 12:23:00,308.0,169,2,2
2010-12-01 12:27:00,2474.7400000000002,1070,1,1
2010-12-01 12:31:00,163.34,71,1,1
2010-12-01 12:35:00,223.9,102,1,1
2010-12-01 12:36:00,95.29,39,1,1
2010-12-01 12:38:00,155.52,216,1,1
2010-12-01 12:40:00,295.5,118,1,1
2010-12-01 12:43:00,313.49,197,1,1
2010-12-01 12:48:00,4.95,1,1,1
2010-12-01 12:49:00,188.56,84,1,1
2010-12-01 12:50:00,203.3,112,1,1
2010-12-01 12:51:00,70.80000000000001,24,1,1
2010-12-01 12:54:00,136.24,29,1,1
2010-12-01 12:58:00,301.24,94,1,1
2010-12-01 13:04:00,261.48,157,1,1
2010-12-01 13:17:00,274.93,113,1,1
2010-12-01 13:20:00,161.0,38,1,1
2010-12-01 13:21:00,200.5,71,1,1
2010-12-01 13:23:00,939.59,391,1,1
2010-12-01 13:24:00,1919.1399999999999,1852,1,1
2010-12-01 13:31:00,156.1,80,1,1
2010-12-01 13:33:00,115.65,51,1,1
2010-12-01 13:38:00,194.85000000000002,71,1,1
2010-12-01 13:45:00,165.04999999999998,95,1,1
2010-12-01 13:51:00,369.5,138,1,1
2010-12-01 13:54:00,255.0,146,1,1
2010-12-01 14:03:00,487.75,160,1,1
2010-12-01 14:05:00,555.38,243,2,1
2010-12-01 14:11:00,787.4,392,1,1
2010-12-01 14:32:00,5521.14,1208,1,0
2010-12-01 14:34:00,134.11,84,1,1
2010-12-01 14:37:00,2.9699999999999998,2,1,0
2010-12-01 14:38:00,101.55,71,1,1
2010-12-01 14:41:00,532.43,198,1,1
2010-12-01 14:48:00,99.75,5,1,0
2010-12-01 14:54:00,204.95,117,1,1
2010-12-01 15:00:00,799.4,256,1,1
2010-12-01 15:06:00,322.40000000000003,140,1,1
2010-12-01 15:08:00,532.59,276,3,2
2010-12-01 15:15:00,6.7,2,1,0
2010-12-01 15:21:00,116.25,93,1,1
2010-12-01 15:27:00,251.40000000000003,132,1,1
2010-12-01 15:28:00,5.04,12,1,1
2010-12-01 15:35:00,656.09,239,2,2
2010-12-01 15:37:00,294.62,284,1,1
2010-12-01 15:40:00,442.34999999999997,301,1,1
2010-12-01 15:45:00,143.12,136,1,1
2010-12-01 15:46:00,17.85,3,1,1
2010-12-01 16:01:00,1552.98,858,1,1
2010-12-01 16:11:00,2558.42,1122,1,1
2010-12-01 16:13:00,497.0,388,1,1
2010-12-01 16:15:00,279.6,104,1,1
2010-12-01 16:16:00,315.96000000000004,276,1,1
2010-12-01 16:17:00,97.19999999999999,66,1,1
2010-12-01 16:19:00,330.0,200,1,1
2010-12-01 16:21:00,502.04,304,2,2
2010-12-01 16:22:00,1132.8000000000002,384,1,1
2010-12-01 16:24:00,19.9,2,1,1
2010-12-01 16:25:00,344.2,44,1,1
2010-12-01 16:33:00,311.81,313,1,1
2010-12-01 16:49:00,277.05,103,1,1
2010-12-01 16:52:00,205.86,74,1,1
2010-12-01 16:57:00,159.26,81,1,1
2010-12-01 16:58:00,39.06,12,1,1
2010-12-01 17:06:00,6915.65,1478,1,0
2010-12-01 17:15:00,81.75,19,1,1
2010-12-01 17:22:00,79.5,34,1,1
2010-12-01 17:24:00,349.15,108,1,1
2010-12-01 17:29:00,38.09,9,1,0
2010-12-01 17:35:00,102.78999999999999,71,1,1
2010-12-02 07:48:00,160.6,76,1,1
2010-12-02 07:49:00,306.4,80,1,1
2010-12-02 08:32:00,251.62,56,1,1
2010-12-02 08:33:00,22.200000000000003,12,1,1
2010-12-02 08:34:00,163.76,64,1,1
2010-12-02 08:40:00,22.200000000000003,12,1,1
2010-12-02 08:43:00,184.5,114,1,1
2010-12-02 08:52:00,272.65000000000003,107,1,1
2010-12-02 09:29:00,303.97,93,1,1
2010-12-02 09:37:00,38.1,30,1,1
2010-12-02 09:41:00,244.46,88,1,1
2010-12-02 09:42:00,22.200000000000003,12,1,1
2010-12-02 09:43:00,259.65000000000003,153,1,1
2010-12-02 09:44:00,437.93,291,3,2
2010-12-02 10:09:00,286.92,108,1,1
2010-12-02 10:10:00,244.08,72,1,1
2010-12-02 10:17:00,1875.24,1244,2,2
2010-12-02 10:18:00,97.19999999999999,48,1,1
2010-12-02 10:27:00,485.25,741,1,1
2010-12-02 10:35:00,350.06,298,1,1
