date,customer_id,category,product_name,quantity,unit_price,total_price,unit_cost,total_cost,profit,day_of_week,month,is_weekend
2022-01-01,CUST_344,Sculptures,Objet décoratif,1,85.72,85.72,52.4,52.4,33.32,5,1,True
2022-01-01,CUST_314,Sculptures,Figurine argile,3,50.19,150.58,36.32,108.95,41.64,5,1,True
2022-01-01,CUST_476,Bougies,Bougie rose,1,8.62,8.62,5.86,5.86,2.76,5,1,True
2022-01-01,CUST_055,Peintures,Nature morte,1,271.55,271.55,173.77,173.77,97.78,5,1,True
2022-01-01,CUST_167,Peintures,Toile paysage,1,99.51,99.51,63.1,63.1,36.41,5,1,True
2022-01-02,CUST_431,Poterie,Bol décoratif,1,46.41,46.41,32.44,32.44,13.97,6,1,True
2022-01-02,CUST_390,Bijoux,Collier perles,1,42.17,42.17,27.93,27.93,14.24,6,1,True
2022-01-02,CUST_162,Poterie,Bol décoratif,2,31.09,62.18,23.47,46.95,15.23,6,1,True
2022-01-03,CUST_472,Bijoux,Collier perles,1,118.62,118.62,75.89,75.89,42.73,0,1,False
2022-01-03,CUST_261,Bijoux,Bracelet cuir,1,89.22,89.22,67.29,67.29,21.93,0,1,False
2022-01-03,CUST_418,Peintures,Portrait,1,128.67,128.67,93.24,93.24,35.43,0,1,False
2022-01-03,CUST_360,Bijoux,Bracelet cuir,1,47.65,47.65,35.55,35.55,12.11,0,1,False
2022-01-03,CUST_257,Poterie,Tasse thé,1,48.33,48.33,35.89,35.89,12.44,0,1,False
2022-01-03,CUST_015,Savons,Savon karité,1,20.42,20.42,14.39,14.39,6.03,0,1,False
2022-01-03,CUST_052,Bijoux,Bague argent,1,26.33,26.33,19.15,19.15,7.18,0,1,False
2022-01-03,CUST_171,Bougies,Bougie rose,1,32.5,32.5,22.17,22.17,10.33,0,1,False
2022-01-04,CUST_231,Textiles,Coussin brodé,1,65.45,65.45,51.0,51.0,14.45,1,1,False
2022-01-04,,Peintures,Toile paysage,1,175.73,175.73,134.19,134.19,41.54,1,1,False
2022-01-04,CUST_307,Poterie,Assiette artisanale,1,50.64,50.64,32.64,32.64,18.01,1,1,False
2022-01-04,CUST_233,Poterie,Bol décoratif,1,76.57,76.57,53.89,53.89,22.68,1,1,False
2022-01-04,CUST_386,Textiles,Coussin brodé,2,97.88,195.77,63.66,127.32,68.45,1,1,False
2022-01-05,CUST_416,Bougies,Bougie vanille,1,11.91,11.91,9.5,9.5,2.42,2,1,False
2022-01-05,CUST_280,Bougies,Bougie eucalyptus,1,28.56,28.56,21.3,21.3,7.27,2,1,False
2022-01-05,CUST_097,Textiles,Coussin brodé,1,72.51,72.51,44.82,44.82,27.7,2,1,False
2022-01-05,CUST_443,Bijoux,Bracelet cuir,1,34.58,34.58,24.84,24.84,9.75,2,1,False
2022-01-06,CUST_060,Bougies,Bougie vanille,1,14.96,14.96,11.42,11.42,3.54,3,1,False
2022-01-06,CUST_009,Poterie,Vase céramique,1,25.59,25.59,19.96,19.96,5.63,3,1,False
2022-01-06,CUST_120,Poterie,Tasse thé,1,63.56,63.56,49.41,49.41,14.15,3,1,False
2022-01-06,CUST_340,Sculptures,Objet décoratif,1,71.03,71.03,55.39,55.39,15.65,3,1,False
2022-01-06,CUST_384,Bougies,Bougie rose,1,10.74,10.74,6.45,6.45,4.29,3,1,False
2022-01-06,CUST_161,Poterie,Assiette artisanale,1,61.51,61.51,39.67,39.67,21.85,3,1,False
2022-01-07,CUST_238,Poterie,Bol décoratif,1,25.62,25.62,16.73,16.73,8.89,4,1,False
2022-01-07,CUST_226,Bougies,Bougie vanille,1,18.61,18.61,13.52,13.52,5.1,4,1,False
2022-01-07,CUST_317,Textiles,Écharpe laine,1,68.27,68.27,43.63,43.63,24.64,4,1,False
2022-01-08,CUST_469,Bougies,Bougie eucalyptus,1,34.02,34.02,22.41,22.41,11.6,5,1,True
2022-01-08,CUST_223,Bijoux,Collier perles,1,48.28,48.28,34.34,34.34,13.93,5,1,True
2022-01-08,CUST_342,Sculptures,Sculpture métal,1,192.52,192.52,139.19,139.19,53.33,5,1,True
2022-01-08,CUST_417,Textiles,Sac toile,1,63.87,63.87,47.79,47.79,16.09,5,1,True
2022-01-08,CUST_355,Bijoux,Boucles oreilles,1,52.75,52.75,40.19,40.19,12.56,5,1,True
2022-01-08,CUST_173,Poterie,Bol décoratif,1,74.79,74.79,52.38,52.38,22.42,5,1,True
2022-01-08,CUST_471,Bijoux,Bague argent,1,88.71,88.71,69.01,69.01,19.69,5,1,True
2022-01-08,CUST_153,Bijoux,Boucles oreilles,1,24.87,24.87,15.1,15.1,9.77,5,1,True
2022-01-09,CUST_005,Bougies,Bougie lavande,1,22.1,22.1,14.21,14.21,7.89,6,1,True
2022-01-09,CUST_311,Textiles,Coussin brodé,1,28.88,28.88,20.45,20.45,8.43,6,1,True
2022-01-09,CUST_145,Bijoux,Bague argent,1,117.46,117.46,78.07,78.07,39.4,6,1,True
2022-01-09,CUST_117,Textiles,Sac toile,1,57.92,57.92,35.05,35.05,22.88,6,1,True
2022-01-09,CUST_001,Bijoux,Bracelet cuir,1,88.08,88.08,55.9,55.9,32.18,6,1,True
2022-01-10,CUST_185,Savons,Savon karité,1,9.95,9.95,7.48,7.48,2.47,0,1,False
2022-01-10,CUST_453,Poterie,Bol décoratif,1,22.76,22.76,17.55,17.55,5.21,0,1,False
2022-01-10,CUST_254,Textiles,Coussin brodé,1,82.25,82.25,55.05,55.05,27.2,0,1,False
2022-01-10,CUST_180,Textiles,Sac toile,2,28.6,57.21,22.24,44.47,12.74,0,1,False
2022-01-11,CUST_033,Bougies,Bougie eucalyptus,1,29.63,29.63,21.17,21.17,8.45,1,1,False
2022-01-11,CUST_168,Textiles,Sac toile,1,86.55,86.55,66.13,66.13,20.42,1,1,False
2022-01-11,CUST_253,Peintures,Abstrait,1,195.06,195.06,131.76,131.76,63.31,1,1,False
2022-01-11,CUST_458,Bijoux,Bracelet cuir,1,50.34,50.34,34.08,34.08,16.26,1,1,False
2022-01-12,CUST_357,Sculptures,Objet décoratif,2,154.49,308.97,109.62,219.25,89.73,2,1,False
2022-01-12,CUST_497,Savons,Savon lavande,1,16.52,16.52,10.33,10.33,6.19,2,1,False
2022-01-12,CUST_183,Savons,Savon lavande,1,22.34,22.34,14.47,14.47,7.87,2,1,False
2022-01-13,CUST_052,Peintures,Abstrait,2,229.06,458.12,168.44,336.88,121.24,3,1,False
2022-01-13,CUST_436,Bougies,Bougie eucalyptus,1,10.25,10.25,7.38,7.38,2.86,3,1,False
2022-01-13,CUST_181,Savons,Savon lavande,1,23.92,23.92,14.9,14.9,9.03,3,1,False
2022-01-13,CUST_221,Textiles,Sac toile,1,99.69,99.69,74.51,74.51,25.18,3,1,False
2022-01-13,CUST_401,Textiles,Coussin brodé,1,97.65,97.65,74.94,74.94,22.71,3,1,False
2022-01-14,CUST_342,Bijoux,Collier perles,1,39.49,39.49,30.51,30.51,8.98,4,1,False
